Species:Chemical Name:Freq-GHz:Freq Err:Meas Freq-GHz:Meas Freq Err:Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):Linelist
SiC2v=0:Silicon Carbide:211.02329:9.9E-6:::9(8,1)-8(8,0):-3.45750::115.11660:CDMS
SiC2v=0:Silicon Carbide:211.02329:9.9E-6:::9(8,2)-8(8,1):-3.45750::115.11660:CDMS
SiC2v=0:Silicon Carbide:211.02330:6.2E-5:::9(8,2)-8(8,1):0.00000::114.72900:SLAIM
SiC2v=0:Silicon Carbide:211.02330:6.2E-5:::9(8,1)-8(8,0):0.00000::114.72900:SLAIM
SiC2v=0:Silicon Carbide:211.99013:0.0017241:::9(4,5)-10(2,8):-6.00530::50.12500:CDMS
SiC2v=0:Silicon Carbide:212.03188:7.7E-6:::9(6,4)-8(6,3):-2.95150::77.13650:CDMS
SiC2v=0:Silicon Carbide:212.03190:7.7E-6:::9(6,3)-8(6,2):-2.95150::77.13650:CDMS
SiC2v=0:Silicon Carbide:212.03195:4.3E-6:::9(6,4)-8(6,3):-2.71640::77.06850:JPL
SiC2v=0:Silicon Carbide:212.03195:4.4E-5:::9(6,4)-8(6,3):0.00000::77.07400:SLAIM
SiC2v=0:Silicon Carbide:212.03197:4.3E-6:::9(6,3)-8(6,2):-2.71640::77.06850:JPL
SiC2v=0:Silicon Carbide:212.03197:4.4E-5:::9(6,3)-8(6,2):0.00000::77.07400:SLAIM
SiC2v=0:Silicon Carbide:212.34267:0.0009301:::26(4,22)-26(4,23):-4.25230::299.71200:CDMS
SiC2v=0:Silicon Carbide:213.20803:6.0E-6:::9(4,6)-8(4,5):-2.73070::50.07980:CDMS
SiC2v=0:Silicon Carbide:213.20807:3.3E-6:::9(4,6)-8(4,5):-2.49580::50.07540:JPL
SiC2v=0:Silicon Carbide:213.20808:2.6E-5:::9(4,6)-8(4,5):0.00000::50.07600:SLAIM
SiC2v=0:Silicon Carbide:213.29234:6.0E-6:::9(4,5)-8(4,4):-2.73040::50.08160:CDMS
SiC2v=0:Silicon Carbide:213.29238:3.1E-6:::9(4,5)-8(4,4):-2.49540::50.07720:JPL
SiC2v=0:Silicon Carbide:213.29238:2.5E-5:::9(4,5)-8(4,4):0.00000::50.07800:SLAIM
SiC2v=0:Silicon Carbide:213.71379:0.0087388:::20(6,14)-21(4,17):-5.70670::207.38610:CDMS
SiC2v=0:Silicon Carbide:214.04575:0.0019249:::22(4,19)-23(2,22):-5.82640::215.25060:CDMS
SiC2v=0:Silicon Carbide:215.97091:0.0017437:::12(4,9)-13(2,12):-5.78770::76.12250:CDMS
SiC2v=0:Silicon Carbide:218.44067:0.00266:::19(2,17)-20(0,20):0.00000::153.16000:SLAIM
SiC2v=0:Silicon Carbide:218.44132:0.0001992:::19(2,17)-20(0,20):-6.11370::153.15950:CDMS
SiC2v=0:Silicon Carbide:218.78652:2.08E-5:::11(2,10)-11(0,11):-4.08760::49.59440:JPL
SiC2v=0:Silicon Carbide:218.78654:2.3E-5:::11(2,10)-11(0,11):-4.32250::49.59440:CDMS
SiC2v=0:Silicon Carbide:218.78654:0.000153:::11(2,10)-11(0,11):0.00000::49.59400:SLAIM
SiC2v=0:Silicon Carbide:220.77369:8.7E-6:::10(0,10)-9(0,9):-2.53090::34.17900:CDMS
SiC2v=0:Silicon Carbide:220.77370:6.7E-5:::10(0,10)-9(0,9):0.00000::34.17900:SLAIM
SiC2v=0:Silicon Carbide:220.77370:9.2E-6:::10(0,10)-9(0,9):-2.29600::34.17900:JPL
SiC2v=0:Silicon Carbide:221.29198:0.0086061:::23(6,18)-24(4,21):-5.65350::259.56010:CDMS
SiC2v=0:Silicon Carbide:221.54582:0.0001951:::17(2,15)-17(2,16):-3.88540::123.28590:JPL
SiC2v=0:Silicon Carbide:221.54599:0.0001477:::17(2,15)-17(2,16):-4.12030::123.28590:CDMS
SiC2v=0:Silicon Carbide:221.54612:0.001273:::17(2,15)-17(2,16):0.00000::123.28600:SLAIM
SiC2v=0:Silicon Carbide:222.00936:6.8E-6:::9(2,7)-8(2,6):-2.35430::34.46290:JPL
SiC2v=0:Silicon Carbide:222.00937:4.8E-5:::9(2,7)-8(2,6):0.00000::34.46300:SLAIM
SiC2v=0:Silicon Carbide:222.00939:9.0E-6:::9(2,7)-8(2,6):-2.58930::34.46290:CDMS
SiC2v=0:Silicon Carbide:227.14514:0.0019663:::23(4,20)-24(2,23):-5.82630::233.02150:CDMS
SiC2v=0:Silicon Carbide:230.04681:0.0017384:::11(4,8)-12(2,11):-5.81270::66.13970:CDMS
SiC2v=0:Silicon Carbide:232.53407:6.1E-6:::10(2,9)-9(2,8):-2.27900::40.63050:JPL
SiC2v=0:Silicon Carbide:232.53407:5.4E-6:::10(2,9)-9(2,8):-2.51400::40.63050:CDMS
SiC2v=0:Silicon Carbide:232.53408:4.3E-5:::10(2,9)-9(2,8):0.00000::40.63100:SLAIM
SiC2v=0:Silicon Carbide:234.02477:2.13E-5:::12(2,11)-12(0,12):-4.01710::58.33340:JPL
