Species:Chemical Name:Freq-GHz:Freq Err:Meas Freq-GHz:Meas Freq Err:Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):Linelist
13CN:Cyanide Radical:216.95123:0.0001889:::N=2-1,J=3/2-1/2,F1=2-0,F=2-1:-6.34750::3.63540:CDMS
13CN:Cyanide Radical:216.95123:3.56E-5:::N=2-1,J=5/2-1/2,F1=2-0,F=2-1:-6.34720::3.63540:JPL
13CN:Cyanide Radical:216.95162:2.87E-5:::N=2-1,J=3/2-3/2,F1=1-2,F=2-3:-4.65930::3.64720:CDMS
13CN:Cyanide Radical:216.95164:5.5E-5:::N=2-1,J=3/2-3/2,F1=1-2,F=2-3:-4.65920::3.64720:JPL
13CN:Cyanide Radical:::217.03260:8.0E-5:N=2-1,J=3/2-1/2,F1=1-1,F=0-1:-4.23250::3.64320:JPL
13CN:Cyanide Radical:::217.03260:8.0E-5:N=2-1,J=3/2-3/2,F1=1-1,F=0-1:-4.23250::3.64320:CDMS
13CN:Cyanide Radical:217.04560:2.53E-5:::N=2-1,J=3/2-3/2,F1=1-1,F=1-1:-4.41250::3.64320:CDMS
13CN:Cyanide Radical:217.04562:3.62E-5:::N=2-1,J=3/2-1/2,F1=1-1,F=1-1:-4.41250::3.64320:JPL
13CN:Cyanide Radical:217.04619:2.64E-5:::N=2-1,J=3/2-3/2,F1=1-1,F=1-0:-4.17450::3.64310:CDMS
13CN:Cyanide Radical:217.04621:3.81E-5:::N=2-1,J=3/2-1/2,F1=1-1,F=1-0:-4.17450::3.64310:JPL
13CN:Cyanide Radical:::217.04699:8.0E-5:N=2-1,J=3/2-1/2,F1=1-1,F=1-2:-4.04830::3.64310:JPL
13CN:Cyanide Radical:::217.04699:8.0E-5:N=2-1,J=3/2-3/2,F1=1-1,F=1-2:-4.04830::3.64310:CDMS
13CN:Cyanide Radical:::217.07280:8.0E-5:N=2-1,J=3/2-1/2,F1=1-1,F=2-1:-3.95520::3.64320:JPL
13CN:Cyanide Radical:::217.07280:8.0E-5:N=2-1,J=3/2-3/2,F1=1-1,F=2-1:-3.95520::3.64320:CDMS
13CN:Cyanide Radical:::217.07424:8.0E-5:N=2-1,J=3/2-1/2,F1=1-1,F=2-2:-3.55680::3.64310:JPL
13CN:Cyanide Radical:::217.07424:8.0E-5:N=2-1,J=3/2-3/2,F1=1-1,F=2-2:-3.55680::3.64310:CDMS
13CN:Cyanide Radical:::217.26464:8.0E-5:N=2-1,J=3/2-1/2,F1=1-0,F=0-1:-3.95470::3.63540:JPL
13CN:Cyanide Radical:::217.26464:8.0E-5:N=2-1,J=3/2-1/2,F1=1-0,F=0-1:-3.95470::3.63540:CDMS
13CN:Cyanide Radical:217.27644:2.21E-5:::N=2-1,J=3/2-1/2,F1=2-1,F=1-2:-4.82780::3.62420:CDMS
13CN:Cyanide Radical:217.27646:2.97E-5:::N=2-1,J=5/2-3/2,F1=2-1,F=1-2:-4.82770::3.62420:JPL
13CN:Cyanide Radical:::217.27768:8.0E-5:N=2-1,J=3/2-1/2,F1=1-0,F=1-1:-3.49520::3.63540:JPL
13CN:Cyanide Radical:::217.27768:8.0E-5:N=2-1,J=3/2-1/2,F1=1-0,F=1-1:-3.49530::3.63540:CDMS
13CN:Cyanide Radical:::217.28680:8.0E-5:N=2-1,J=5/2-3/2,F1=2-1,F=2-2:-3.65410::3.62420:JPL
13CN:Cyanide Radical:::217.28680:8.0E-5:N=2-1,J=3/2-1/2,F1=2-1,F=2-2:-3.65410::3.62420:CDMS
13CN:Cyanide Radical:217.28754:2.69E-5:::N=2-1,J=5/2-3/2,F1=2-2,F=2-1:-4.54940::3.64810:CDMS
13CN:Cyanide Radical:217.28758:3.45E-5:::N=2-1,J=3/2-3/2,F1=2-2,F=2-1:-4.54920::3.64810:JPL
13CN:Cyanide Radical:217.28980:2.55E-5:::N=2-1,J=5/2-3/2,F1=2-2,F=3-2:-4.54440::3.64770:CDMS
13CN:Cyanide Radical:217.28982:2.9E-5:::N=2-1,J=3/2-3/2,F1=2-2,F=3-2:-4.54440::3.64770:JPL
13CN:Cyanide Radical:::217.29082:8.0E-5:N=2-1,J=5/2-3/2,F1=2-1,F=1-1:-3.65670::3.62370:JPL
13CN:Cyanide Radical:::217.29082:8.0E-5:N=2-1,J=3/2-1/2,F1=2-1,F=1-1:-3.65670::3.62370:CDMS
13CN:Cyanide Radical:::217.29447:8.0E-5:N=2-1,J=3/2-3/2,F1=2-2,F=1-1:-4.04330::3.64810:JPL
13CN:Cyanide Radical:::217.29447:8.0E-5:N=2-1,J=5/2-3/2,F1=2-2,F=1-1:-4.04330::3.64810:CDMS
13CN:Cyanide Radical:::217.29660:8.0E-5:N=2-1,J=5/2-3/2,F1=2-1,F=1-0:-3.53490::3.62350:JPL
