Species:Chemical Name:Ordered Freq (GHz) (rest frame, redshifted):Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):E_L (K):Linelist
13COv=0:Carbon Monoxide:220.39868, 220.39868:2-1:-4.17490:17.:3.6759:5.2888:CDMS
CH3OHvt=0:Methanol:221.29447, 221.29447:3(-2,2)-2(2,0):-11.34221::20.3000:29.2070:CDMS
C17O:Carbon Monoxide:224.71437, 224.71437:J=2-1:0.00000: 1.5:3.7480:5.3925:SLAIM
CH3OHvt=0:Methanol:225.58168, 225.58168:1(1,0)-2(-1,2):-9.82447::8.7170:12.5417:CDMS
H2CO:Formaldehyde:225.69778, 225.69778:3(1,2)-2(1,1):-2.33150: 5.0:15.7202:22.6177:CDMS
CH3OHvt=0:Methanol:229.75876, 229.75876:8(-1,8)-7(0,7):-3.67755:10.6:54.2660:78.0762:CDMS
CH3OHvt=0:Methanol:230.02706, 230.02706:3(-2,2)-4(-1,4):-4.44239: 5.1:20.0090:28.7883:CDMS
COv=0:Carbon Monoxide:230.53800, 230.53800:2-1:0.00000:70.:3.8450:5.5321:SLAIM
CH3OHvt=0:Methanol:234.68339, 234.68339:4(2,3)-5(1,4)--:-4.27156: 2.6:34.5160:49.6605:CDMS
CH3OHvt=0:Methanol:237.42959, 237.42959:7(1,6)-6(-2,5):-6.33043::51.8890:74.6563:CDMS
CH3OHvt=0:Methanol:239.74625, 239.74625:5(1,5)-4(1,4)++:-3.69597: 7.4:26.1010:37.5533:CDMS
CH3OHvt=0:Methanol:240.24150, 240.24150:5(3,2)-6(2,4):-4.33991: 0.55:49.3490:71.0018:CDMS
HDO:Water:241.56155, 241.56155:2(1,1)-2(1,2):-3.14850: 1.0:58.1269:83.6312:JPL
CH3OHvt=0:Methanol:241.70022, 241.70022:5(0,5)-4(0,4):-3.67022: 1.7:25.2540:36.3347:CDMS
CH3OHvt=0:Methanol:241.76722, 241.76722:5(-1,5)-4(-1,4):-3.67636: 1.8:20.0090:28.7883:CDMS
CH3OHvt=0:Methanol:241.79143, 241.79143:5(0,5)-4(0,4)++:-3.65060: 1.8:16.1340:23.2131:CDMS
CH3OHvt=0:Methanol:241.83291, 241.83291:5(3,3)-4(3,2)++:-3.91804:  b:50.7460:73.0118:CDMS
CH3OHvt=0:Methanol:241.83291, 241.83291:5(3,2)-4(3,1)--:-3.91804: 1.6b:50.7460:73.0118:CDMS
CH3OHvt=0:Methanol:241.84232, 241.84232:5(2,4)-4(2,3)--:-3.77831:  b:42.3440:60.9232:CDMS
CH3OHvt=0:Methanol:241.84365, 241.84365:5(3,2)-4(3,1):-3.91338: 1.7b:49.2950:70.9241:CDMS
CH3OHvt=0:Methanol:241.85235, 241.85235:5(-3,3)-4(-3,2):-3.93337: 0.9:59.7200:85.9233:CDMS
CH3OHvt=0:Methanol:241.87907, 241.87907:5(1,4)-4(1,3):-3.68756: 1.4:30.7640:44.2623:CDMS
CH3OHvt=0:Methanol:241.88770, 241.88770:5(2,3)-4(2,2)++:-3.77815: 1.2:42.3450:60.9247:CDMS
CH3OHvt=0:Methanol:241.90415, 241.90415:5(-2,4)-4(-2,3):-3.76310:  b:34.1370:49.1152:CDMS
CH3OHvt=0:Methanol:241.90464, 241.90464:5(2,3)-4(2,2):-3.76330: 1.2b:31.5960:45.4593:CDMS
CH3OHvt=0:Methanol:243.91583, 243.91583:5(1,4)-4(1,3)--:-3.68172: 8.1:26.3800:37.9547:CDMS
CSv=0:Carbon Monosulfide:244.93556, 244.93556:5-4:0.00000: 5.5:16.3410:23.5109:SLAIM
CH3OHvt=0:Methanol:246.22886, 246.22886:3(-2,2)-2(1,1):-7.94760::19.4690:28.0114:CDMS
CH3OHvt=0:Methanol:247.22869, 247.22869:4(2,2)-5(1,5)++:-4.23959: 3.9:34.0980:49.0591:CDMS
