Species:Chemical Name:Freq-GHz:Freq Err:Meas Freq-GHz:Meas Freq Err:Resolved QNs:CDMS/JPL Intensity:Lovas/AST Intensity:E_L (cm^-1):Linelist
CH3CNv=0:Methyl Cyanide:183.90608:1.0E-6:183.90608:1.0E-5:10(4)-9(4):0.00000::107.05000:SLAIM
CH3CNv=0:Methyl Cyanide:183.90613:2.0E-7:::10(4)-9(4),F=11-10:-3.06890::107.05050:JPL
CH3CNv=0:Methyl Cyanide:183.90613:2.0E-7:::10(4)-9(4),F=9-8:-3.15670::107.05050:JPL
CH3CNv=0:Methyl Cyanide:183.90613:2.0E-6:::10(4)-9(4),F=11-10:0.00000::107.05000:SLAIM
CH3CNv=0:Methyl Cyanide:183.90614:3.0E-6:::10(4)-9(4),F=9-8:0.00000::107.05000:SLAIM
CH3CNv=0:Methyl Cyanide:183.90690:9.0E-7:::10(4)-9(4),F=9-9:-5.10840::107.05050:JPL
CH3CNv=0:Methyl Cyanide:183.92974:8.0E-7:::10(3)-9(3),F=10-10:-4.70020::72.30330:JPL
CH3CNv=0:Methyl Cyanide:183.93081:2.0E-7:::10(3)-9(3),F=10-9:-2.70450::72.30330:JPL
CH3CNv=0:Methyl Cyanide:183.93081:3.0E-6:183.93080:1.0E-5:10(3)-9(3),F=10-9:0.00000::72.30300:SLAIM
CH3CNv=0:Methyl Cyanide:183.93087:2.0E-7:::10(3)-9(3):-2.22300::72.30330:JPL
CH3CNv=0:Methyl Cyanide:183.93087:1.0E-6:183.93087:1.0E-5:10(3)-9(3):0.00000::72.30300:SLAIM
CH3CNv=0:Methyl Cyanide:183.93089:2.0E-7:::10(3)-9(3),F=9-8:-2.74850::72.30330:JPL
CH3CNv=0:Methyl Cyanide:183.93090:3.0E-6:::10(3)-9(3),F=9-8:0.00000::72.30300:SLAIM
CH3CNv=0:Methyl Cyanide:183.93090:2.0E-7:::10(3)-9(3),F=11-10:-2.66060::72.30330:JPL
CH3CNv=0:Methyl Cyanide:183.93090:3.0E-6:::10(3)-9(3),F=11-10:0.00000::72.30300:SLAIM
CH3CNv=0:Methyl Cyanide:183.93205:9.0E-7:::10(3)-9(3),F=9-9:-4.70010::72.30330:JPL
CH3CNv=0:Methyl Cyanide:183.94723:9.0E-7:::10(2)-9(2),F=10-10:-4.92620::47.47820:JPL
CH3CNv=0:Methyl Cyanide:183.94855:2.0E-7:::10(2)-9(2),F=10-9:-2.93050::47.47820:JPL
CH3CNv=0:Methyl Cyanide:183.94858:1.0E-6:::10(2)-9(2):0.00000::47.47800:SLAIM
CH3CNv=0:Methyl Cyanide:183.94858:2.0E-7:::10(2)-9(2):-2.44900::47.47820:JPL
CH3CNv=0:Methyl Cyanide:183.94858:2.0E-7:::10(2)-9(2),F=9-8:-2.97450::47.47820:JPL
CH3CNv=0:Methyl Cyanide:183.94860:2.0E-7:::10(2)-9(2),F=11-10:-2.88670::47.47820:JPL
CH3CNv=0:Methyl Cyanide:183.95002:9.0E-7:::10(2)-9(2),F=9-9:-4.92620::47.47820:JPL
CH3CNv=0:Methyl Cyanide:183.95773:1.0E-6:::10(1)-9(1),F=10-10:-4.88170::32.58090:JPL
CH3CNv=0:Methyl Cyanide:183.95920:2.0E-7:::10(1)-9(1),F=9-8:-2.93000::32.58090:JPL
CH3CNv=0:Methyl Cyanide:183.95920:2.0E-7:::10(1)-9(1),F=10-9:-2.88610::32.58090:JPL
CH3CNv=0:Methyl Cyanide:183.95921:2.0E-6:::10(1)-9(1):0.00000::32.58100:SLAIM
CH3CNv=0:Methyl Cyanide:183.95921:2.0E-7:::10(1)-9(1):-2.40460::32.58090:JPL
CH3CNv=0:Methyl Cyanide:183.95922:2.0E-7:::10(1)-9(1),F=11-10:-2.84220::32.58090:JPL
CH3CNv=0:Methyl Cyanide:183.96081:1.0E-6:::10(1)-9(1),F=9-9:-4.88170::32.58090:JPL
CH3CNv=0:Methyl Cyanide:183.96123:1.0E-6:::10(0)-9(0),F=10-10:-4.86700::27.61480:JPL
CH3CNv=0:Methyl Cyanide:183.96274:2.0E-7:::10(0)-9(0),F=9-8:-2.91530::27.61480:JPL
CH3CNv=0:Methyl Cyanide:183.96275:2.0E-6:::10(0)-9(0):0.00000::27.61500:SLAIM
CH3CNv=0:Methyl Cyanide:183.96275:2.0E-7:::10(0)-9(0):-2.38980::27.61480:JPL
CH3CNv=0:Methyl Cyanide:183.96275:2.0E-7:::10(0)-9(0),F=10-9:-2.87130::27.61470:JPL
CH3CNv=0:Methyl Cyanide:183.96276:2.0E-7:::10(0)-9(0),F=11-10:-2.82750::27.61480:JPL
CH3CNv=0:Methyl Cyanide:183.96440:1.0E-6:::10(0)-9(0),F=9-9:-4.86700::27.61470:JPL
CH3CNv=0:Methyl Cyanide:202.16462:3.0E-6:::11(7)-10(7),F=11-10:0.00000::276.86500:SLAIM
CH3CNv=0:Methyl Cyanide:202.16485:2.0E-7:::11(7)-10(7):-3.01180::276.86500:JPL
CH3CNv=0:Methyl Cyanide:202.16486:4.0E-6:::11(7)-10(7):0.00000::276.86500:SLAIM
CH3CNv=0:Methyl Cyanide:202.16496:3.0E-6:::11(7)-10(7),F=12-11:0.00000::276.86500:SLAIM
CH3CNv=0:Methyl Cyanide:202.16499:3.0E-6:::11(7)-10(7),F=10-9:0.00000::276.86500:SLAIM
CH3CNv=0:Methyl Cyanide:202.21520:3.0E-6:::11(6)-10(6),F=11-10:0.00000::212.40900:SLAIM
CH3CNv=0:Methyl Cyanide:202.21537:2.0E-7:::11(6)-10(6):-2.50420::212.40940:JPL
CH3CNv=0:Methyl Cyanide:202.21538:3.0E-6:::11(6)-10(6):0.00000::212.40900:SLAIM
CH3CNv=0:Methyl Cyanide:202.21545:3.0E-6:::11(6)-10(6),F=12-11:0.00000::212.40900:SLAIM
CH3CNv=0:Methyl Cyanide:202.21547:3.0E-6:::11(6)-10(6),F=10-9:0.00000::212.40900:SLAIM
CH3CNv=0:Methyl Cyanide:202.25804:3.0E-6:::11(5)-10(5),F=11-10:0.00000::157.84500:SLAIM
CH3CNv=0:Methyl Cyanide:202.25815:2.0E-7:::11(5)-10(5):-2.63850::157.84530:JPL
CH3CNv=0:Methyl Cyanide:202.25816:2.0E-6:::11(5)-10(5):0.00000::157.84500:SLAIM
CH3CNv=0:Methyl Cyanide:202.25822:3.0E-6:::11(5)-10(5),F=12-11:0.00000::157.84500:SLAIM
CH3CNv=0:Methyl Cyanide:202.25822:3.0E-6:::11(5)-10(5),F=10-9:0.00000::157.84500:SLAIM
CH3CNv=0:Methyl Cyanide:202.29311:3.0E-6:::11(4)-10(4),F=11-10:0.00000::113.18500:SLAIM
