 60.1430 15.9334   77   0.50  -1.80  35.00  -443.0  5220.0
 60.1430 15.9334   78   0.50  -1.80  35.00  -441.0  5209.0
 60.1430 15.9334   79   0.50  -1.80  35.00  -451.0  5209.0
 60.1430 15.9334   80   0.50  -1.80  35.00  -440.0  5205.0
 60.1429 15.9333   81   0.50  -1.80  35.00  -433.0  5205.0
 60.1430 15.9334   82   0.50  -1.80  35.00  -443.0  5209.0
 60.1430 15.9334   83   0.50  -1.80  35.00  -436.0  5205.0
 60.1430 15.9334   84   0.50  -1.80  35.00  -438.0  5205.0
 60.1430 15.9334   85   0.50  -1.80  35.00  -447.0  5209.0
 60.1430 15.9334   86   0.50  -1.80  35.00  -441.0  5208.0
 60.1430 15.9334   87   0.50  -1.80  35.00  -435.0  5207.0
 60.1430 15.9334   88   0.50  -1.80  35.00  -443.0  5207.0
 60.1430 15.9334   89   0.50  -1.80  35.00  -448.0  5208.0
 60.1429 15.9334   90   0.50  -1.80  35.00  -427.0  5205.0
 60.1429 15.9334   91   0.50  -1.80  35.00  -441.0  5207.0
 60.1430 15.9334   92   0.50  -1.80  35.00  -444.0  5208.0
 60.1430 15.9334   93   0.50  -1.80  35.00  -445.0  5209.0
 60.1430 15.9334   94   0.50  -1.80  35.00  -447.0  5204.0
 60.1430 15.9334   95   0.50  -1.80  35.00  -431.0  5210.0
 60.1430 15.9334   96   0.50  -1.80  35.00  -444.0  5205.0
 60.1430 15.9334   97   0.50  -1.80  35.00  -443.0  5214.0
 60.1430 15.9334   98   0.50  -1.80  35.00  -439.0  5197.0
 60.1430 15.9334   99   0.50  -1.80  35.00  -427.0  5209.0
 60.1430 15.9334  100   0.50  -1.80  35.00  -441.0  5213.0
 60.1430 15.9334  101   0.50  -1.80  35.00  -439.0  5204.0
 60.1430 15.9333  102   0.50  -1.80  35.00  -447.0  5207.0
 60.1430 15.9333  103   0.50  -1.80  35.00  -443.0  5213.0
 60.1430 15.9334  104   0.50  -1.80  35.00  -435.0  5211.0
 60.1430 15.9334  105   0.50  -1.80  35.00  -444.0  5213.0
 60.1430 15.9333  106   0.50  -1.80  35.00  -437.0  5213.0
 60.1430 15.9333  107   0.50  -1.80  35.00  -441.0  5205.0
 60.1430 15.9334  108   0.50  -1.80  35.00  -447.0  5211.0
 60.1430 15.9334  109   0.50  -1.80  35.00  -447.0  5437.0
 60.1430 15.9334  110   0.50  -1.80  35.00  -443.0  5433.0
 60.1430 15.9334  111   0.50  -1.80  35.00  -451.0  5429.0
 60.1430 15.9334  112   0.50  -1.80  35.00  -441.0  5429.0
 60.1430 15.9334  113   0.50  -1.80  35.00  -448.0  5433.0
 60.1430 15.9334  114   0.50  -1.80  35.00  -444.0  5431.0
 60.1430 15.9334  115   0.50  -1.80  35.00  -439.0  5429.0
 60.1430 15.9334  116   0.50  -1.80  35.00  -451.0  5433.0
 60.1430 15.9334  117   0.50  -1.80  35.00  -447.0  5433.0
 60.1430 15.9334  118   0.50  -1.80  35.00  -447.0  5425.0
 60.1430 15.9334  119   0.50  -1.80  35.00  -444.0  5429.0
 60.1430 15.9334  120   0.50  -1.80  35.00  -445.0  5435.0
 60.1430 15.9333  121   0.50  -1.80  35.00  -443.0  5441.0
 60.1430 15.9333  122   0.50  -1.80  35.00  -443.0  5431.0
 60.1430 15.9334  123   0.50  -1.80  35.00  -452.0  5429.0
 60.1430 15.9334  124   0.50  -1.80  35.00  -447.0  5436.0
 60.1430 15.9333  125   0.50  -1.80  35.00  -449.0  5437.0
 60.1430 15.9333  126   0.50  -1.80  35.00  -447.0  5431.0
 60.1430 15.9334  127   0.50  -1.80  35.00  -443.0  5433.0
 60.1430 15.9334  128   0.50  -1.80  35.00  -451.0  5429.0
 60.1430 15.9334  129   0.50  -1.80  35.00  -448.0  5427.0
 60.1429 15.9333  130   0.50  -1.80  35.00  -448.0  5431.0
 60.1429 15.9333  131   0.50  -1.80  35.00  -443.0  5424.0
 60.1430 15.9333  132   0.50  -1.80  35.00  -447.0  5440.0
 60.1430 15.9333  133   0.50  -1.80  35.00  -443.0  5435.0
 60.1430 15.9333  134   0.50  -1.80  35.00  -451.0  5429.0
 60.1430 15.9334  135   0.50  -1.80  35.00  -451.0  5429.0
 60.1430 15.9334  136   0.50  -1.80  35.00  -447.0  5425.0
 60.1430 15.9334  137   0.50  -1.80  35.00  -437.0  5428.0
 60.1430 15.9334  138   0.50  -1.80  35.00  -449.0  5435.0
 60.1430 15.9334  139   0.50  -1.80  35.00  -451.0  5427.0
 60.1430 15.9333  140   0.50  -1.80  35.00  -447.0  5431.0
 60.1430 15.9333  141   0.50  -1.80  35.00  -451.0  5425.0
 60.1430 15.9333  142   0.50  -1.80  35.00  -451.0  5427.0
 60.1430 15.9333  143   0.50  -1.80  35.00  -451.0  5434.0
 60.1430 15.9334  144   0.50  -1.80  35.00  -444.0  5434.0
 60.1430 15.9334  145   0.50  -1.80  35.00  -439.0  5433.0
 60.1430 15.9334  146   0.50  -1.80  35.00  -451.0  5433.0
 60.1430 15.9334  147   0.50  -1.80  35.00  -451.0  5429.0
 60.1430 15.9334  148   0.50  -1.80  35.00  -451.0  5433.0
 60.1430 15.9333  149   0.50  -1.80  35.00  -445.0  5429.0
 60.1430 15.9333  150   0.50  -1.80  35.00  -447.0  5432.0
 60.1430 15.9333  151   0.50  -1.80  35.00  -447.0  5435.0
 60.1430 15.9333  152   0.50  -1.80  35.00  -443.0  5809.0
 60.1430 15.9333  153   0.50  -1.80  35.00  -439.0  5821.0
 60.1430 15.9333  154   0.50  -1.80  35.00  -439.0  5813.0
 60.1430 15.9333  155   0.50  -1.80  35.00  -436.0  5813.0
 60.1430 15.9334  156   0.50  -1.80  35.00  -448.0  5817.0
 60.1430 15.9334  157   0.50  -1.80  35.00  -444.0  5807.0
 60.1430 15.9334  158   0.50  -1.80  35.00  -443.0  5816.0
 60.1430 15.9334  159   0.50  -1.80  35.00  -444.0  5817.0
 60.1429 15.9333  160   0.50  -1.80  35.00  -439.0  5812.0
 60.1429 15.9333  161   0.50  -1.80  35.00  -437.0  5813.0
