 60.1431 15.9333   75   0.50  -1.80  35.00  -427.0 -2713.0
 60.1431 15.9333   76   0.50  -1.80  35.00  -427.0 -2707.0
 60.1431 15.9333   77   0.50  -1.80  35.00  -427.0 -2700.0
 60.1431 15.9333   78   0.50  -1.80  35.00  -432.0 -2705.0
 60.1431 15.9333   79   0.50  -1.80  35.00  -427.0 -2711.0
 60.1431 15.9333   80   0.50  -1.80  35.00  -431.0 -2700.0
 60.1431 15.9333   81   0.50  -1.80  35.00  -431.0 -2703.0
 60.1431 15.9333   82   0.50  -1.80  35.00  -432.0 -2719.0
 60.1431 15.9333   83   0.50  -1.80  35.00  -430.0 -2705.0
 60.1431 15.9333   84   0.50  -1.80  35.00  -427.0 -2699.0
 60.1431 15.9333   85   0.50  -1.80  35.00  -427.0 -2707.0
 60.1431 15.9333   86   0.50  -1.80  35.00  -426.0 -2707.0
 60.1431 15.9333   87   0.50  -1.80  35.00  -429.0 -2700.0
 60.1431 15.9333   88   0.50  -1.80  35.00  -430.0 -2701.0
 60.1431 15.9333   89   0.50  -1.80  35.00  -429.0 -2707.0
 60.1431 15.9333   90   0.50  -1.80  35.00  -427.0 -2711.0
 60.1431 15.9333   91   0.50  -1.80  35.00  -424.0 -2707.0
 60.1431 15.9333   92   0.50  -1.80  35.00  -423.0 -2709.0
 60.1431 15.9333   93   0.50  -1.80  35.00  -427.0 -2705.0
 60.1431 15.9333   94   0.50  -1.80  35.00  -427.0 -2707.0
 60.1431 15.9333   95   0.50  -1.80  35.00  -427.0 -2719.0
 60.1431 15.9333   96   0.50  -1.80  35.00  -431.0 -2708.0
 60.1431 15.9333   97   0.50  -1.80  35.00  -427.0 -2708.0
 60.1431 15.9333   98   0.50  -1.80  35.00  -419.0 -2715.0
 60.1431 15.9333   99   0.50  -1.80  35.00  -429.0 -2697.0
 60.1431 15.9333  100   0.50  -1.80  35.00  -427.0 -2707.0
 60.1431 15.9333  101   0.50  -1.80  35.00  -427.0 -2706.0
