 55.7828 18.3061    0   0.20  -4.40  39.00  -855.0 -3095.0
 55.7828 18.3061    1   0.20  -4.40  39.00  -851.0 -3091.0
 55.7828 18.3062    2   0.20  -4.40  39.00  -851.0 -3097.0
 55.7828 18.3061    3   0.20  -4.40  39.00  -851.0 -3091.0
 55.7828 18.3061    4   0.20  -4.40  39.00  -860.0 -3089.0
 55.7828 18.3061    5   0.20  -4.40  39.00  -855.0 -3093.0
 55.7828 18.3061    6   0.20  -4.40  39.00  -859.0 -3087.0
 55.7828 18.3061    7   0.20  -4.40  39.00  -851.0 -3091.0
 55.7828 18.3061    8   0.20  -4.40  39.00  -859.0 -3089.0
 55.7828 18.3061    9   0.20  -4.40  39.00  -851.0 -3095.0
 55.7828 18.3061   10   0.20  -4.40  39.00  -851.0 -3091.0
 55.7828 18.3061   11   0.20  -4.40  39.00  -855.0 -3091.0
 55.7828 18.3061   12   0.20  -4.40  39.00  -851.0 -3095.0
 55.7828 18.3061   13   0.20  -4.40  39.00  -851.0 -3077.0
 55.7828 18.3061   14   0.20  -4.40  39.00  -847.0 -3091.0
 55.7828 18.3061   15   0.20  -4.40  39.00  -855.0 -3093.0
 55.7828 18.3061   16   0.20  -4.40  39.00  -857.0 -3099.0
 55.7828 18.3061   17   0.20  -4.40  39.00  -855.0 -3105.0
 55.7828 18.3061   18   0.20  -4.40  39.00  -855.0 -3091.0
 55.7828 18.3061   19   0.20  -4.40  39.00  -853.0 -3092.0
 55.7828 18.3061   20   0.20  -4.40  39.00  -856.0 -3095.0
 55.7828 18.3061   21   0.20  -4.40  39.00  -851.0 -3092.0
 55.7828 18.3061   22   0.20  -4.40  39.00  -855.0 -3091.0
 55.7828 18.3061   23   0.20  -4.40  39.00  -855.0 -3099.0
 55.7828 18.3061   24   0.20  -4.40  39.00  -852.0 -3091.0
 55.7828 18.3061   25   0.20  -4.40  39.00  -855.0 -3091.0
 55.7828 18.3061   26   0.20  -4.40  39.00  -859.0 -3091.0
 55.7828 18.3061   27   0.20  -4.40  39.00  -851.0 -3094.0
 55.7828 18.3061   28   0.20  -4.40  39.00  -853.0 -3095.0
 55.7828 18.3061   29   0.20  -4.40  39.00  -859.0 -3085.0
 55.7828 18.3061   30   0.20  -4.40  39.00  -855.0 -3091.0
 55.7828 18.3061   31   0.20  -4.40  39.00  -859.0 -3091.0
 55.7828 18.3061   32   0.20  -4.40  39.00  -852.0 -3103.0
 55.7828 18.3061   33   0.20  -4.40  39.00  -851.0 -3095.0
 55.7828 18.3061   34   0.20  -4.40  39.00  -859.0 -3093.0
 55.7828 18.3061   35   0.20  -4.40  39.00  -855.0 -3096.0
 55.7828 18.3061   36   0.20  -4.40  39.00  -859.0 -3096.0
 55.7828 18.3061   37   0.20  -4.40  39.00  -851.0 -3095.0
 55.7828 18.3061   38   0.20  -4.40  39.00  -853.0 -3094.0
 55.7828 18.3061   39   0.20  -4.40  39.00  -865.0 -3094.0
 55.7828 18.3061   40   0.20  -4.40  39.00  -857.0 -3096.0
 55.7828 18.3061   41   0.20  -4.40  39.00  -861.0 -3097.0
 55.7828 18.3061   42   0.20  -4.40  39.00  -855.0 -3087.0
