 133   0.60  -1.20  12.94  0.5240
 134   0.60  -1.20  12.94  0.5237
 135   0.60  -1.20  13.69  0.5228
 136   0.60  -1.20  14.19  0.5223
 137   0.60  -1.20  14.19  0.5203
 138   0.60  -1.20  14.19  0.5204
 139   0.60  -1.20  14.19  0.5209
 140   0.60  -1.20  14.19  0.5198
 141   0.60  -1.20  14.19  0.5182
 142   0.60  -1.20  14.19  0.5184
 143   0.60  -1.20  14.19  0.5188
 144   0.60  -1.20  14.19  0.5190
 145   0.60  -1.20  14.69  0.5194
 146   0.60  -1.20  15.44  0.5203
 147   0.60  -1.20  15.44  0.5209
 148   0.60  -1.20  15.44  0.5202
 149   0.60  -1.20  15.44  0.5197
 150   0.60  -1.20  15.44  0.5195
 151   0.60  -1.20  15.44  0.5194
 152   0.60  -1.20  15.44  0.5221
 153   0.60  -1.20  15.44  0.5228
 154   0.60  -1.20  15.44  0.5211
 155   0.60  -1.20  15.94  0.5206
 156   0.60  -1.20  16.69  0.5206
 157   0.60  -1.20  16.69  0.5206
 158   0.60  -1.20  16.69  0.5209
 159   0.60  -1.20  16.69  0.5209
 160   0.60  -1.20  16.69  0.5192
 161   0.60  -1.20  16.69  0.5188
 162   0.60  -1.20  16.69  0.5190
 163   0.60  -1.20  16.69  0.5191
 164   0.60  -1.20  16.69  0.5179
 165   0.60  -1.20  16.93  0.5179
 166   0.60  -1.20  17.91  0.5179
 167   0.60  -1.20  17.91  0.5179
 168   0.60  -1.20  17.91  0.5191
 169   0.60  -1.20  17.91  0.5194
 170   0.60  -1.20  17.91  0.5199
 171   0.60  -1.20  17.91  0.5200
 172   0.60  -1.20  17.91  0.5200
 173   0.60  -1.20  17.91  0.5200
 174   0.60  -1.20  17.91  0.5208
 175   0.60  -1.20  17.91  0.5209
 176   0.60  -1.20  18.71  0.5180
 177   0.60  -1.20  18.91  0.5173
 178   0.60  -1.20  18.91  0.5200
 179   0.60  -1.20  18.91  0.5206
 180   0.60  -1.20  18.91  0.5197
 181   0.60  -1.20  18.91  0.5194
 182   0.60  -1.20  18.91  0.5187
 183   0.60  -1.20  18.91  0.5185
 184   0.60  -1.20  18.91  0.5188
 185   0.60  -1.20  18.91  0.5188
 186   0.60  -1.20  19.19  0.5215
 187   0.60  -1.20  19.60  0.5215
 188   0.60  -1.20  19.60  0.5203
 189   0.60  -1.20  19.60  0.5203
 190   0.60  -1.20  19.60  0.5179
 191   0.60  -1.20  19.60  0.5179
 192   0.60  -1.20  19.60  0.5179
 193   0.60  -1.20  19.60  0.5179
 194   0.60  -1.20  19.60  0.5197
 195   0.60  -1.20  19.60  0.5190
 196   0.60  -1.20  19.67  0.5161
 197   0.60  -1.20  19.95  0.5167
 198   0.60  -1.20  19.95  0.5191
 199   0.60  -1.20  19.95  0.5189
 200   0.60  -1.20  19.95  0.5179
 201   0.60  -1.20  19.95  0.5182
 202   0.60  -1.20  19.95  0.5194
 203   0.60  -1.20  19.95  0.5181
 204   0.60  -1.20  19.95  0.5161
 205   0.60  -1.20  19.95  0.5168
 206   0.60  -1.20  19.96  0.5179
 207   0.60  -1.20  20.00  0.5179
 208   0.60  -1.20  20.00  0.5179
 209   0.60  -1.20  20.00  0.5181
 210   0.60  -1.20  20.00  0.5185
 211   0.60  -1.20  20.00  0.5195
 212   0.60  -1.20  20.00  0.5209
 213   0.60  -1.20  20.00  0.5198
 214   0.60  -1.20  20.00  0.5182
 215   0.60  -1.20  20.00  0.5183
 216   0.60  -1.20  20.00  0.5185
 217   0.60  -1.20  20.00  0.5190
 218   0.60  -1.20  20.00  0.5197
 219   0.60  -1.20  20.00  0.5201
 220   0.60  -1.20  20.00  0.5203
 221   0.60  -1.20  20.00  0.5196
 222   0.60  -1.20  20.00  0.5191
 223   0.60  -1.20  20.00  0.5186
 224   0.60  -1.20  20.00  0.5185
 225   0.60  -1.20  20.00  0.5170
 226   0.60  -1.20  20.00  0.5167
 227   0.60  -1.20  20.00  0.5181
 228   0.60  -1.20  20.00  0.5185
 229   0.60  -1.20  20.00  0.5182
 230   0.60  -1.20  20.00  0.5182
 231   0.60  -1.20  20.00  0.5189
 232   0.60  -1.20  20.00  0.5191
 233   0.60  -1.20  20.00  0.5179
 234   0.60  -1.20  20.00  0.5179
 235   0.60  -1.20  20.00  0.5212
 236   0.60  -1.20  20.00  0.5212
 237   0.60  -1.20  20.00  0.5179
 238   0.60  -1.20  20.00  0.5187
 239   0.60  -1.20  20.00  0.5222
 240   0.60  -1.20  20.00  0.5211
 241   0.60  -1.20  20.00  0.5170
 242   0.60  -1.20  20.00  0.5173
 243   0.60  -1.20  20.00  0.5179
